===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2022-09-20 00:01:47
count workspace : /Users/imac/Desktop/FinalProject___0
total files : 127
total code lines : 38176
total comment lines : 40
total blank lines : 876

Backend/app.js, code is 37, comment is 2, blank is 5.
Backend/controllers/addressController.js, code is 55, comment is 0, blank is 4.
Backend/controllers/cardController.js, code is 91, comment is 0, blank is 7.
Backend/controllers/fagController.js, code is 91, comment is 0, blank is 10.
Backend/controllers/instagramController.js, code is 91, comment is 0, blank is 7.
Backend/controllers/LogoController.js, code is 53, comment is 0, blank is 6.
Backend/controllers/messageController.js, code is 68, comment is 0, blank is 7.
Backend/controllers/photosController.js, code is 87, comment is 0, blank is 7.
Backend/controllers/settingController.js, code is 74, comment is 0, blank is 9.
Backend/controllers/SliderControllers.js, code is 92, comment is 0, blank is 8.
Backend/model/adressSchema.js, code is 16, comment is 0, blank is 2.
Backend/model/cardSchema.js, code is 16, comment is 0, blank is 3.
Backend/model/fagSchema.js, code is 16, comment is 0, blank is 2.
Backend/model/instagramSchema.js, code is 16, comment is 0, blank is 2.
Backend/model/LogoSchema.js, code is 8, comment is 0, blank is 4.
Backend/model/messageSchema.js, code is 12, comment is 0, blank is 3.
Backend/model/photosSchema.js, code is 8, comment is 0, blank is 2.
Backend/model/settingsSchema.js, code is 28, comment is 0, blank is 2.
Backend/model/SliderSchema.js, code is 16, comment is 0, blank is 2.
Backend/package-lock.json, code is 2476, comment is 0, blank is 1.
Backend/package.json, code is 24, comment is 0, blank is 0.
Backend/routes/adressRouter.js, code is 7, comment is 0, blank is 3.
Backend/routes/cardRoutes.js, code is 9, comment is 0, blank is 4.
Backend/routes/fagsRouter.js, code is 9, comment is 0, blank is 5.
Backend/routes/instagramRoutes.js, code is 9, comment is 0, blank is 4.
Backend/routes/LogoRoutes.js, code is 7, comment is 0, blank is 2.
Backend/routes/messageRoute.js, code is 8, comment is 0, blank is 6.
Backend/routes/photosRoutes.js, code is 9, comment is 0, blank is 4.
Backend/routes/settingRoutes.js, code is 8, comment is 0, blank is 2.
Backend/routes/SliderRoutes.js, code is 9, comment is 0, blank is 4.
Frontend/package-lock.json, code is 30149, comment is 0, blank is 2.
Frontend/package.json, code is 53, comment is 0, blank is 3.
Frontend/public/index.html, code is 20, comment is 0, blank is 0.
Frontend/README.md, code is 21, comment is 4, blank is 15.
Frontend/src/adminpanel/Admin.css, code is 4, comment is 0, blank is 0.
Frontend/src/adminpanel/Admins.jsx, code is 18, comment is 0, blank is 2.
Frontend/src/adminpanel/adress/AdressDetail.css, code is 37, comment is 0, blank is 6.
Frontend/src/adminpanel/adress/AdressDetail.jsx, code is 43, comment is 1, blank is 7.
Frontend/src/adminpanel/adress/UpdateAdress.css, code is 92, comment is 0, blank is 18.
Frontend/src/adminpanel/adress/UpdateAdress.jsx, code is 63, comment is 2, blank is 8.
Frontend/src/adminpanel/fags/AddFags.css, code is 92, comment is 0, blank is 19.
Frontend/src/adminpanel/fags/AddFags.jsx, code is 59, comment is 0, blank is 7.
Frontend/src/adminpanel/fags/FagsDetail.css, code is 28, comment is 0, blank is 8.
Frontend/src/adminpanel/fags/FagsDetail.jsx, code is 50, comment is 2, blank is 7.
Frontend/src/adminpanel/fags/UpdateFags.css, code is 92, comment is 0, blank is 18.
Frontend/src/adminpanel/fags/UpdateFags.jsx, code is 63, comment is 2, blank is 7.
Frontend/src/adminpanel/instagram/AddInstagram.css, code is 92, comment is 0, blank is 19.
Frontend/src/adminpanel/instagram/AddInstagram.jsx, code is 60, comment is 0, blank is 12.
Frontend/src/adminpanel/instagram/InstagramDetail.css, code is 37, comment is 0, blank is 6.
Frontend/src/adminpanel/instagram/InstagramDetail.jsx, code is 50, comment is 2, blank is 9.
Frontend/src/adminpanel/instagram/UpdateInstagram.css, code is 92, comment is 0, blank is 18.
Frontend/src/adminpanel/instagram/UpdateInstagram.jsx, code is 63, comment is 2, blank is 8.
Frontend/src/adminpanel/Logo/LogoDetail.css, code is 31, comment is 0, blank is 5.
Frontend/src/adminpanel/Logo/LogoDetail.jsx, code is 46, comment is 1, blank is 7.
Frontend/src/adminpanel/Logo/UpdateLogo.css, code is 92, comment is 0, blank is 18.
Frontend/src/adminpanel/Logo/UpdateLogo.jsx, code is 53, comment is 2, blank is 10.
Frontend/src/adminpanel/message/MessageDetail.css, code is 37, comment is 0, blank is 6.
Frontend/src/adminpanel/message/MessageDetail.jsx, code is 43, comment is 1, blank is 6.
Frontend/src/adminpanel/photos/AddPhotos.css, code is 92, comment is 0, blank is 19.
Frontend/src/adminpanel/photos/AddPhotos.jsx, code is 46, comment is 0, blank is 8.
Frontend/src/adminpanel/photos/PhotosDetail.css, code is 34, comment is 0, blank is 5.
Frontend/src/adminpanel/photos/PhotosDetail.jsx, code is 49, comment is 2, blank is 6.
Frontend/src/adminpanel/photos/UpdatePhotos.css, code is 92, comment is 0, blank is 18.
Frontend/src/adminpanel/photos/UpdatePhotos.jsx, code is 53, comment is 2, blank is 11.
Frontend/src/adminpanel/products/AddProducts.css, code is 92, comment is 0, blank is 19.
Frontend/src/adminpanel/products/AddProducts.jsx, code is 60, comment is 0, blank is 9.
Frontend/src/adminpanel/products/ProductDetail.css, code is 37, comment is 0, blank is 6.
Frontend/src/adminpanel/products/ProductDetail.jsx, code is 50, comment is 2, blank is 7.
Frontend/src/adminpanel/products/UpdateProducts.css, code is 92, comment is 0, blank is 18.
Frontend/src/adminpanel/products/UpdateProducts.jsx, code is 63, comment is 2, blank is 8.
Frontend/src/adminpanel/settingss/SetingDetail.css, code is 34, comment is 0, blank is 6.
Frontend/src/adminpanel/settingss/SetingsDetail.jsx, code is 50, comment is 1, blank is 8.
Frontend/src/adminpanel/settingss/UpdateSetting.css, code is 92, comment is 0, blank is 18.
Frontend/src/adminpanel/settingss/UpdateSetting.jsx, code is 78, comment is 2, blank is 8.
Frontend/src/adminpanel/slider/AddSlider.css, code is 92, comment is 0, blank is 19.
Frontend/src/adminpanel/slider/AddSlider.jsx, code is 59, comment is 0, blank is 10.
Frontend/src/adminpanel/slider/Slider.Detail.css, code is 34, comment is 0, blank is 6.
Frontend/src/adminpanel/slider/SliderDetail.jsx, code is 56, comment is 2, blank is 10.
Frontend/src/adminpanel/slider/UpdateSlider.css, code is 92, comment is 0, blank is 19.
Frontend/src/adminpanel/slider/UpdateSlider.jsx, code is 67, comment is 2, blank is 17.
Frontend/src/App.css, code is 14, comment is 0, blank is 0.
Frontend/src/App.js, code is 73, comment is 0, blank is 4.
Frontend/src/assets/Bisuteria_woman.jpeg, it is a binary file.
Frontend/src/assets/blackwoman.jpeg, it is a binary file.
Frontend/src/assets/Bolsos_woman.jpeg, it is a binary file.
Frontend/src/assets/Cargo_woman.jpeg, it is a binary file.
Frontend/src/assets/dash.png, it is a binary file.
Frontend/src/assets/dasssshh.png, it is a binary file.
Frontend/src/assets/download.jpeg, it is a binary file.
Frontend/src/assets/lookbook.jpeg, it is a binary file.
Frontend/src/assets/pb.jpeg, it is a binary file.
Frontend/src/assets/sari.jpeg, it is a binary file.
Frontend/src/assets/xbanner-08.jpg.pagespeed.ic.DRRTVgFQa3.jpeg, it is a binary file.
Frontend/src/components/Context/Context.js, code is 11, comment is 0, blank is 3.
Frontend/src/components/CounDown/UseCountdown.jsx, code is 23, comment is 0, blank is 9.
Frontend/src/components/Footer/Footer.css, code is 83, comment is 0, blank is 6.
Frontend/src/components/Footer/Footer.jsx, code is 102, comment is 0, blank is 10.
Frontend/src/components/Header/Header.css, code is 103, comment is 0, blank is 11.
Frontend/src/components/Header/Header.jsx, code is 72, comment is 4, blank is 11.
Frontend/src/components/Menu/Menu.css, code is 86, comment is 0, blank is 17.
Frontend/src/components/Menu/Menu.jsx, code is 17, comment is 0, blank is 2.
Frontend/src/components/Menu/MenuItems.jsx, code is 9, comment is 0, blank is 0.
Frontend/src/components/SideBarDropdown/SideBarDrop.css, code is 10, comment is 0, blank is 1.
Frontend/src/components/SideBarDropdown/SideBarDrop.jsx, code is 34, comment is 0, blank is 6.
Frontend/src/components/SideBarDropdown/SideItem.jsx, code is 48, comment is 0, blank is 10.
Frontend/src/data/NavItemData.jsx, code is 61, comment is 0, blank is 2.
Frontend/src/index.js, code is 12, comment is 0, blank is 1.
Frontend/src/pages/About/About.css, code is 31, comment is 0, blank is 5.
Frontend/src/pages/About/About.jsx, code is 25, comment is 0, blank is 2.
Frontend/src/pages/Contact/Contact.css, code is 98, comment is 0, blank is 29.
Frontend/src/pages/Contact/Contact.jsx, code is 74, comment is 0, blank is 11.
Frontend/src/pages/Fag/Fag.css, code is 44, comment is 0, blank is 8.
Frontend/src/pages/Fag/Fag.jsx, code is 44, comment is 0, blank is 9.
Frontend/src/pages/Home/Home.css, code is 0, comment is 0, blank is 0.
Frontend/src/pages/Home/Home.jsx, code is 27, comment is 0, blank is 7.
Frontend/src/pages/Instagram/Instagram.css, code is 69, comment is 0, blank is 6.
Frontend/src/pages/Instagram/Instagram.jsx, code is 35, comment is 0, blank is 4.
Frontend/src/pages/Lookbook/Lookbook.css, code is 70, comment is 0, blank is 10.
Frontend/src/pages/Lookbook/Lookbook.jsx, code is 39, comment is 0, blank is 5.
Frontend/src/pages/Modal/Modal.css, code is 48, comment is 0, blank is 3.
Frontend/src/pages/Modal/Modal.jsx, code is 46, comment is 0, blank is 3.
Frontend/src/pages/Photos/Photos.css, code is 45, comment is 0, blank is 6.
Frontend/src/pages/Photos/Photos.jsx, code is 34, comment is 0, blank is 6.
Frontend/src/pages/Products/Product.css, code is 80, comment is 0, blank is 11.
Frontend/src/pages/Products/Product.jsx, code is 56, comment is 0, blank is 10.
Frontend/src/pages/Slideer/Slideer.css, code is 70, comment is 0, blank is 6.
Frontend/src/pages/Slideer/Slideer.jsx, code is 39, comment is 0, blank is 9.
===============================================================================
